description,date,category_title,amount,note
Daily,July 24 2025,လုပ်သားခ,16000
ကိုဟိန်းကား ဒူးဇစ်သဲကာလဲ,July 24 2025,ပစ္စည်းဝယ်,23200
Daily,July 23 2025,လုပ်သားခ,16000
2D-5030,July 23 2025,ပစ္စည်းဝယ်,93000,D4 pump & ဆီ ၁ဘူး
2D-5030,July 23 2025,ဝင်ငွေ,265000,D4 pump လဲ၊ filter ဆေး၊ လေတံခါးဆေး
Daily,July 22 2025,လုပ်သားခ,16000
6K-7813,July 22 2025,ပစ္စည်းဝယ်,146000,ဆောင့်တုံး၂၊ ဂျွိုင့်ခရော့ ( ဂျွိုင့်၊ စတီယာရင်)၊ဂီယာဘောက်oil seal၊ ATF 2L
92 Max (SML),July 22 2025,ဆီဖိုး,60000
Daily,July 21 2025,လုပ်သားခ,16000
Daily,July 20 2025,လုပ်သားခ,16000
7K-7906,July 20 2025,ပစ္စည်းဝယ်,368000
7K-7906,July 20 2025,ဝင်ငွေ,600000
171819,July 19 2025,လုပ်သားခ,48000
ဆီ,July 18 2025,ဆီဖိုး,50000
4G-6155,July 17 2025,ဝင်ငွေ,15000
FF-9005,July 17 2025,ဝင်ငွေ,79000
Daily,July 16 2025,လုပ်သားခ,16000
8E-7294,July 16 2025,ပစ္စည်းဝယ်,241000
8E-7294,July 16 2025,ဝင်ငွေ,350000
Daily,July 15 2025,လုပ်သားခ,16000
6K-7813,July 15 2025,ဝင်ငွေ,80000
Daily,July 14 2025,လုပ်သားခ,16000
7R-7682,July 14 2025,ဝင်ငွေ,7000
Daily,July 13 2025,လုပ်သားခ,16000
FF-9005,July 13 2025,ပစ္စည်းဝယ်,250000
FF-9005,July 13 2025,ဝင်ငွေ,340000
7K-7906,July 13 2025,ပစ္စည်းဝယ်,290000
7K-7906,July 13 2025,ဝင်ငွေ,300000
Daily,July 12 2025,လုပ်သားခ,16000
1G-6709,July 12 2025,ပစ္စည်းဝယ်,83000
1G-6709,July 12 2025,ဝင်ငွေ,93000
9E-9170,July 12 2025,ပစ္စည်းဝယ်,70000
9E-9170,July 12 2025,ဝင်ငွေ,100000
5ရက် daily,July 11 2025,လုပ်သားခ,80000
ဆီ,July 5 2025,ဆီဖိုး,50000
BB-1928,July 5 2025,ဝင်ငွေ,70000
Daily,July 4 2025,လုပ်သားခ,16000
4N-6861,July 4 2025,ဝင်ငွေ,30000
6K-7813,July 3 2025,ပစ္စည်းဝယ်,1035000
6K-7813,July 3 2025,ဝင်ငွေ,1450000
123 daily,July 3 2025,လုပ်သားခ,48000
June လ ဆီဖြည့်,June 30 2025,ဆီဖိုး,250000
Bonus,June 30 2025,လုပ်သားခ,370000
လစာ,June 30 2025,လုပ်သားခ,850000
4D-3585,June 30 2025,ပစ္စည်းဝယ်,90000
4D-3585,June 30 2025,ဝင်ငွေ,120000
9E-6580,June 30 2025,ပစ္စည်းဝယ်,1180000
9E-6580,June 30 2025,ဝင်ငွေ,2300000
Daily,June 29 2025,လုပ်သားခ,16000
7E-7647,June 29 2025,ပစ္စည်းဝယ်,473000
7E-7647,June 29 2025,ဝင်ငွေ,590000
2728 daily,June 28 2025,လုပ်သားခ,32000
1H-2469,June 27 2025,ပစ္စည်းဝယ်,234000
1H-2469,June 27 2025,ဝင်ငွေ,329000
2526 daily,June 26 2025,လုပ်သားခ,32000
4G-5932,June 25 2025,ဝင်ငွေ,15000
2324 daily,June 24 2025,လုပ်သားခ,32000
1H-2469,June 23 2025,ပစ္စည်းဝယ်,226000
